Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","Return on Equity","5Y Avg Net Profit Margin","Return on Investment","5Y Avg Return on Equity","Return on Assets","5Y Avg Return on Assets","Net Profit Margin","ROCE","1Y Forward Revenue Growth","1Y Forward EBITDA Growth","1Y Forward EPS Growth","PB Premium vs Sector","PB Ratio","PS Premium vs Sector","PS Ratio","EV/EBITDA Ratio","Forward PE Ratio","Price / Free Cash Flow","Enterprise Value","Price / CFO","Price / Sales","Sector PE","Current Ratio","Long Term Debt to Equity","Debt to Equity","Inventory Turnover Ratio","Asset Turnover Ratio","Investing Cash Flow","Total Current Assets","Total Debt","Total Equity","Free Cash Flow","Book Value","EBITDA","Payout Ratio","Earnings Per Share","PBIT","Total Revenue","EPS (Q)","EBITDA (Q)"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1678149.56308098","1240.1","24.10407151694144","7.935513763564524","7.9464806657646845","6.697025301510205","7.974433732096264","4.142960430595103","4.069443772103736","7.58805372814188","9.41642403480641","4.607826474319574","12.98","3.7501685700618697","22.146438462499493","1.8126715436806053","147.99817240086594","1.82902989737526","11.56305827320237","24.36345776031434","284.1912892601151","2066052.56308098","10.568491089257249","1.82902989737526","11.390851106271253","1.1830373433123536","0.37632697766659323","0.4957841320043034","4.183121682640089","0.5459845935499995","-113581","470100","458991","925788","5905","925787.9999999999","178677","0.10211630764769869","48.96377586673034","127845","917508","13.7","48003"
HDFC Bank Ltd,HDFCBANK,"Private Banks","1427059.63678645","1864.9","22.27621282098492","16.85673681150032","19.963981651886204",,"16.688333103024526","1.9512492696450114","1.9297415492711827","15.701681666164507","4.615515635159734","-58.80205235670055",,"-9.858187881840848","23.710600591664583","3.0377277400461904","68.83304788373991","3.4977400244283765","15.209618180342536","21.27666856816885","96.53631337249081","1211608.5267864498","74.83529250548","3.4977400244283765","17.62347512832906",,"1.555233427487605","0",,"0.1242700820925284","16600.42","228834.50999999998",,"469778.65","14782.619999999999","469778.6499999999","79660.68000000005","0.20054367784416466","97.23567558760318","76568.60000000005","407994.77","23.11","23972.869999999995"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1175227.18759676","3248.2","24.45485959582912","65.05750082917618","21.36496441923414","58.60999591316681","53.556361290362894","37.90283145358467","33.751605821568255","21.406712844384064","75.95678864323054","18.602418762110513","10.184","7.811584696839165","102.85668203778188","15.541838311447954","36.79099237984516","5.234981570176441","16.97250577313877","22.682960893854748","31.396323669500962","1146849.18759676","28.79329644249216","5.234981570176441","27.458074989494207","2.097576349070798","0.08577436290781174","0.10020233545366783","2.0851063829787235","1.7706049372978943","4874","103163","7577","75617","37432","75617","67571","0","132.8243160534847","63351","224495","33.79","18008"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","1077955.48578644","1798.8","144.36259351633103","7.04406716343988","-6.9374181308937555","9.376963608362528","-6.097287985534595","1.684457579619208","-1.898531197538368","4.844699702583305","11.645471225779733","12.017476473977347","15.784999999999998","185.6207868795376","-16.690578123939535","10.211402627095435","23.95333595311568","6.9939341387272345","17.371210119996324","49.28219178082192","27.74895900517779","1300483.4857864403","13.662611894649563","6.9939341387272345","-117.81150547736026","0.4202569017464762","1.7514481749916402","2.0422919198703346","40.66580852775543","0.3476908132656843","-51089","58276.100000000006","215592.30000000002","105563.90000000001","38846.7","105563.90000000002","74864.29999999997","0.6226066199008994","12.849204849883163","35326.699999999975","154127.19999999998","25.54","34271.600000000006"
ICICI Bank Ltd,ICICIBANK,"Private Banks","961739.84784244","1350.2","21.73110064226764","18.019082409233544","14.150460914783896",,"13.762043430625008","2.0432080310386915","1.470573680966709","18.74970582033642","6.528727006172","-53.617330585241604",,"4.434108080236208","45.04408664096837","3.5615738943281783","96.67362170282989","4.074517441946421","13.032945834210212","20.457575757575757","6.261085414101134","812859.35784244","6.114651921425686","4.074517441946421","17.62347512832906",,"0.76816007094856","0",,"0.108972804726492","-144736.58","162768.91",,"270032.26","153605.93000000002","270032.26000000024","62369.57999999996","0.158233497091267","63.197743738369965","60434.36999999996","236037.72999999998","18.26","18483.020000000004"
State Bank of India,SBIN,"Public Banks","681394.7395959","763.5","10.15723775253951","16.722561093597644","8.583260453109467",,"12.157484754845841","1.055416680785702","0.7423886740699532","11.282792125937377","5.124775276540176","-62.99937148372728",,"4.459141942259449","-35.54953439256739","1.582588446731561","-44.68255165047953","1.1460200213562666","3.895716289805272","9.723637289862456","31.498760869486233","370440.3895959","31.498760869486233","1.1460200213562666","17.62347512832906",,"1.485539212879833","0",,"0.09354215419421438","-3475.76","326572.31",,"430557.13000000006","21632.43","430557.1300000008","95089.16000000003","0.18225805458595956","75.1681456883903","91240.04000000004","594574.9","21.12","25566.399999999994"
Infosys Ltd,INFY,"IT Services & Consulting","590802.6863692","1426","22.52135426253955","31.941603350866938","17.420113464760377","27.58004544515596","29.04713482544775","20.131534518218373","19.62189593579788","16.563224124105794","37.49820006994014","3.7695809472095694","5.587000000000001","0.48465030152861605","-12.827892012577724","6.678679716137054","-2.5275855759658405","3.7302623822882794","13.900371605630106","22.3861852433281","25.67702578856969","571805.6863692","23.435251343482744","3.7302623822882794","27.458074989494207","2.305304944063515","0.07234826646770894","0.09449361865680922",,"1.2154357368695705","-5093","89432","8359","88461","23009","88461","41136","0.7256348373422788","63.39276676472742","36458","158381","16.43","10974"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","566083.6606095","9141","39.172168108845185","22.051521153288157","22.55669032790061","3.905286973736273","19.190106528696678","4.439902285201667","3.819786965731102","26.279560975920226","5.654878505846499","-17.894170466892692",,"13.393298759304658","200.58662636309478","7.380938487268129","396.89617006957417","10.294273803753946","42.45536691341273","34.09548675867214",,"848805.4806095001",,"10.294273803753946","17.62347512832906","0.4159652636271757","3.4522576662079256","3.824818975335533",,"0.1689488758685854","-7171.18","14256.86","293345.83","76695.34999999999","-73797.92","76695.35000000003","19992.889999999996","0.1522625421609462","236.4337248615414","19309.569999999996","54990.149999999994","68.63","5984.550000000001"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","554855.9765213","2361.5","53.99007264000195","20.16185197900829","16.624862519231378","20.055947228155066","34.21582681241548","13.561088898565641","18.639600431164013","16.338632750397455","21.73349793486047","-2.278597138314786","5.745","-0.5476112707988695","14.5827119837273","10.790035130608873","62.90847750147042","8.821239690322734","35.17885606883562","54.28735632183908","39.65522988288308","544427.9765213","35.868897570709166","8.821239690322734","49.68463098538352","1.6561043802423112","0.02150788557649301","0.028858681912762772","6.592046416052218","0.8300014515128723","-5324","21324","1484","51423","13992","51423","15476","0.960229960144011","43.73952255530647","14260","62900","12.7","4435"
ITC Ltd,ITC,"FMCG - Tobacco","526093.59559324","420.4","25.714807803458466","28.330617807699795","26.644893033165708","27.314684533483","25.461642363991558","23.04112178888152","20.948441592743286","27.783495809480225","34.86894078761706","-5.318357959950541","9.440999999999999","2.33315406576906","-25.40055495387936","7.02488725250177","31.942355755547723","7.144472548489777","17.447724818985044","26.440251572327043","38.63695985579374","506617.89559324004","30.62447657139298","7.144472548489777","49.68463098538352","2.9995865716122236","0.0031028187085667142","0.00405167741421181","2.2339226447729597","0.82930967171595","1562.77","41065.53999999999","303.43","74889.97","13616.33","74889.97","29036.33","0.8371708111108044","15.537486501961174","27219.940000000002","73636.45","3.736673320152494","7165.299999999999"
